Target,1,2,3,4,5, 6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DVN,CTRA,PXD,MRO,FANG,EOG,XOM,KMI,NI,ATO,WEC,PSX,OKE,SRE,WMB,BKR,PNW,COP,HES,AEE,OXY
DXCM,LLY,REGN,ABMD,BIIB,GILD,BMY,ABBV,HOLX,MDT,ISRG,RMD,INCY,AMGN,EW,OGN,DVA,COO,PFE,CAH,BSX
FANG,PXD,CTRA,MRO,EOG,DVN,XOM,WMB,KMI,OXY,ATO,NEM,PSX,OKE,HES,COP,BKR,CVX,WEC,FCX,MPC
DLR,EQIX,DXC,TDY,CRM,NOW,IBM,CCI,CTSH,PTC,EQR,CSGP,ANET,LUMN,CTXS,STX,HPE,MSFT,NTAP,ZBRA,FFIV
DFS,CFG,SYF,KEY,FRC,MA,PNC,FITB,BAC,BK,PYPL,JKHY,FIS,FLT,COF,MKTX,WFC,C,DISH,FISV,CMA
DISH,NFLX,CHTR,VZ,DFS,TMUS,FOX,FOXA,PYPL,EXPE,T,TTWO,BKNG,MGM,CMCSA,CFG,EBAY,EA,FRC,SYF,GOOGL
DG,COST,DLTR,GIS,MDLZ,CPB,KHC,SJM,HSY,HRL,K,AMCR,PEP,KR,TGT,BBY,KO,MKC,SYY,IFF,LW
DLTR,DG,ROST,TGT,GIS,HSY,WBA,KMX,COST,AMZN,HRL,SJM,K,KR,MDLZ,BBY,TJX,LW,VZ,CAG,CPB
D,DUK,FE,NI,PPL,NRG,SRE,ATO,DTE,EVRG,WEC,AEE,ED,CMS,NEE,SO,ES,PEG,PNW,AWK,KMI
DPZ,YUM,MCD,CMG,HSY,DRI,TGT,HRL,EXR,SJM,K,CHD,WMT,CPB,MOS,LW,MGM,CZR,AVB,TSN,GIS
DOV,FTV,ALLE,SNA,NDSN,GWW,DOW,AVY,PH,APTV,SWK,IR,GLW,PPG,WAT,EMR,AME,EPAM,FAST,APD,KEYS
DOW,DOV,AVY,EMN,FTV,IR,KEYS,LIN,APD,TDY,GLW,EMR,EPAM,AMCR,JCI,APTV,PH,CTLT,MCHP,MMM,J
DHI,LEN,PHM,NVR,LOW,HD,FBHS,URI,CBRE,WRB,CINF,RE,AVB,L,LNC,WHR,TFC,HIG,NSC,AIZ,PGR
DTE,PPL,CMS,NI,D,FE,NRG,ED,DUK,EVRG,ES,EIX,SRE,AWK,PNW,WEC,ATO,NEE,SO,PEG,GE
DUK,D,FE,WEC,NRG,CMS,NI,AEE,LNT,SO,SRE,NEE,EVRG,ATO,CNP,PPL,DTE,ETR,PEG,AEP,PNW
